,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
24,25,아바타: 물의 길,제임스 카메론,,2022-12-14,장편,미국,2809,137325939643,10779198,"35,339,578,744","2,612,163",액션,12세관람가,일반영화
25,26,어벤져스: 에이지 오브 울트론,조스 웨던,,2015-04-23,장편,미국,1843,88582586366,10494499,"25,001,906,266","2,823,388",액션,12세관람가,일반영화
26,27,기생충,봉준호,,2019-05-30,장편,한국,1948,87459829095,10313086,"24,128,560,195","2,790,209",드라마,15세관람가,일반영화
27,28,겨울왕국,제니퍼 리,,2014-01-16,장편,미국,1010,82461504400,10296101,"25,847,243,500","3,003,446",애니메이션,전체관람가,일반영화
28,29,인터스텔라,크리스토퍼 놀란,,2014-11-06,장편,미국,1342,82274331200,10273803,"25,500,349,600","3,079,036",SF,12세관람가,일반영화
29,30,보헤미안 랩소디,브라이언 싱어,,2018-10-31,장편,미국,936,86280975785,9948386,"27,849,793,695","3,097,336",드라마,12세관람가,일반영화
30,31,검사외전,이일형,,2016-02-03,장편,한국,1812,77252755264,9699092,"18,302,525,664","2,219,587",범죄,15세관람가,일반영화
31,32,엑시트,이상근,,2019-07-31,장편,한국,1660,79232212162,9426051,"18,533,549,352","2,132,869",코미디,12세관람가,일반영화
32,33,관상,한재림,,2013-09-11,장편,한국,1190,66005451500,9134586,"19,311,179,000","2,561,744",사극,15세관람가,일반영화
33,34,아이언맨 3,쉐인 블랙,,2013-04-25,장편,미국,1381,70806191000,9001309,"21,668,935,500","2,595,269",액션,12세관람가,일반영화
34,35,설국열차,봉준호,,2013-08-01,장편,한국,1128,64016480000,8914845,"18,975,866,000","2,550,437",SF,15세관람가,일반영화
35,36,캡틴 아메리카: 시빌 워,안소니 루소,,2016-04-27,장편,미국,1991,72672111827,8677249,"21,248,121,149","2,400,069",액션,12세관람가,일반영화
36,37,수상한 그녀,황동혁,,2014-01-22,장편,한국,692,62696639249,8656397,"15,358,810,049","2,042,110",드라마,15세관람가,일반영화
37,38,해적: 바다로 간 산적,이석훈,,2014-08-06,장편,한국,838,66240631706,8646758,"14,906,345,006","1,868,694",어드벤처,12세관람가,일반영화
38,39,국가대표,김용화,,2009-07-29,장편,한국,580,60896633308,8487894,"16,782,332,500","2,213,346",드라마,12세관람가,일반영화
40,41,백두산,김병서,,2019-12-19,장편,한국,1971,69825366300,8252669,"15,055,877,210","1,724,785",어드벤처,12세관람가,일반영화
41,42,과속스캔들,강형철,,2008-12-03,장편,한국,405,53940101534,8245523,"16,515,292,833","2,390,408",코미디,12세관람가,일반영화
42,43,탑건: 매버릭,조셉 코신스키,,2022-06-22,장편,미국,1975,87855360975,8177446,"25,925,045,991","2,309,600",액션,12세관람가,일반영화
43,44,스파이더맨: 파 프롬 홈,존 왓츠,,2019-07-02,장편,미국,2142,69000711100,8020208,"18,515,112,400","2,051,196",액션,12세관람가,일반영화
45,46,공조,김성훈,,2017-01-18,장편,한국,976,63781731326,7817446,"14,672,808,676","1,744,624",액션,15세관람가,일반영화
46,47,트랜스포머 3,마이클 베이,,2011-06-29,장편,미국,1409,74841350500,7784807,"21,746,223,000","2,143,018",액션,12세관람가,일반영화
47,48,히말라야,이석훈,,2015-12-16,장편,한국,1009,60173583015,7759473,"13,920,553,930","1,738,016",드라마,12세관람가,일반영화
48,49,미션임파서블:고스트프로토콜,브래드 버드,,2011-12-15,장편,미국,1038,57795846000,7575899,"18,719,283,500","2,347,164",액션,15세관람가,일반영화
49,50,스파이더맨: 노 웨이 홈,존 왓츠,,2021-12-15,장편,미국,2948,75193912210,7551990,"21,054,819,760","2,041,418",액션,12세관람가,일반영화
50,51,트랜스포머: 패자의 역습,마이클 베이,,2009-06-24,장편,미국,1129,51478531663,7505700,"16,083,028,500","2,200,557",SF,12세관람가,일반영화
51,52,밀정,김지운,,2016-09-07,장편,한국,1444,61158644831,7487545,"15,436,298,021","1,827,424",액션,15세관람가,일반영화
52,53,최종병기 활,김한민,,2011-08-10,장편,한국,615,55808856500,7466976,"16,139,541,000","2,059,847",사극,15세관람가,일반영화
54,55,써니,강형철,,2011-05-04,장편,한국,472,53773170600,7328820,"15,401,904,600","2,004,824",드라마,15세관람가,일반영화
56,57,한산: 용의 출현,김한민,,2022-07-27,장편,한국,2223,73700628377,7264934,"15,974,849,913","1,513,672",액션,12세관람가,일반영화
57,58,스파이더맨: 홈 커밍,존 왓츠,,2017-07-05,장편,미국,1965,59120173820,7257973,"16,753,103,620","1,969,107",액션,12세관람가,일반영화
58,59,1987,장준환,,2017-12-27,장편,한국,1299,58165581145,7231638,"14,638,920,495","1,776,877",드라마,15세관람가,일반영화
59,60,베를린,류승완,,2013-01-30,장편,한국,894,52354931637,7166199,"16,070,379,637","2,118,794",액션,15세관람가,일반영화
60,61,마스터,조의석,,2016-12-21,장편,한국,1501,58067927865,7150541,"14,520,299,965","1,731,940",액션,15세관람가,일반영화
61,62,터널,김성훈,,2016-08-10,장편,한국,1105,57510324417,7118592,"14,121,558,017","1,675,010",드라마,12세관람가,일반영화
62,63,어벤져스,조스 웨던,,2012-04-26,장편,미국,967,59557853478,7074867,"19,280,107,897","2,147,619",액션,12세관람가,일반영화
63,64,내부자들,우민호,,2015-11-19,장편,한국,1075,56596582057,7071763,"16,340,245,357","1,972,885",범죄,청소년관람불가,일반영화
64,65,인천상륙작전,이재한,,2016-07-27,장편,한국,1049,55101410303,7049643,"11,459,996,563","1,427,944",전쟁,12세관람가,일반영화
65,66,공조2: 인터내셔날,이석훈,,2022-09-07,장편,한국,2389,70884583586,6979319,"15,028,120,901","1,444,987",액션,15세관람가,일반영화
66,67,럭키,이계벽,,2016-10-13,장편,한국,1158,56361435256,6965706,"13,812,629,836","1,640,015",코미디,15세관람가,일반영화
67,68,은밀하게 위대하게,장철수,,2013-06-05,장편,한국,1341,48663939413,6953800,"12,415,574,413","1,691,014",액션,15세관람가,일반영화
68,69,곡성,나홍진,,2016-05-12,장편,한국,1485,55853108382,6878264,"15,445,041,342","1,829,923",미스터리,15세관람가,일반영화
69,70,범죄도시,강윤성,,2017-10-03,장편,한국,1315,56077813249,6851297,"14,046,905,449","1,670,254",범죄,청소년관람불가,일반영화
71,72,"좋은 놈, 나쁜 놈, 이상한 놈",김지운,,2008-07-17,장편,한국,825,43768628939,6686912,"13,860,913,000","2,012,173",서부극(웨스턴),15세관람가,일반영화
72,73,늑대소년,조성희,,2012-10-31,장편,한국,706,46593107500,6654837,"12,336,313,500","1,677,173",멜로/로맨스,15세관람가,일반영화
74,75,군함도,류승완,,2017-07-26,장편,한국,2027,50510565168,6592151,"11,091,878,868","1,398,649",액션,15세관람가,일반영화
75,76,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,,2018-07-25,장편,미국,1957,55888375112,6584915,"14,891,043,562","1,686,255",액션,15세관람가,일반영화
76,77,다크 나이트 라이즈,크리스토퍼 놀란,,2012-07-19,장편,미국,1210,47644838000,6396528,"16,258,149,500","2,057,529",액션,15세관람가,일반영화
77,78,아저씨,이정범,,2010-08-04,장편,한국,478,47870792359,6282774,"14,820,865,000","1,863,328",액션,청소년관람불가,일반영화
78,79,사도,이준익,,2015-09-16,장편,한국,1210,48842902501,6246849,"12,987,928,301","1,606,486",사극,12세관람가,일반영화
79,80,전우치,최동훈,,2009-12-23,장편,한국,606,44605437017,6136928,"12,917,834,500","1,684,123",액션,12세관람가,일반영화
80,81,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,2015-07-30,장편,미국,1202,48547353607,6126488,"13,751,315,607","1,669,524",액션,15세관람가,일반영화
81,82,킹스맨 : 시크릿 에이전트,매튜 본,,2015-02-11,장편,미국,706,50333635795,6125154,"16,707,645,195","1,968,882",액션,청소년관람불가,일반영화
83,84,연평해전,김학순,,2015-06-24,장편,한국,1013,45560620330,6043458,"9,906,059,630","1,265,879",드라마,12세관람가,일반영화
85,86,인셉션,크리스토퍼 놀란,,2010-07-21,장편,미국,528,44106546302,5926948,"15,810,485,000","2,026,998",드라마,12세관람가,일반영화
86,87,레미제라블,톰 후퍼,,2012-12-19,장편,미국,696,43044999000,5911890,"16,482,217,500","2,190,090",드라마,12세관람가,일반영화
87,88,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,,2022-05-04,장편,미국,2691,62648728870,5884587,"18,021,250,750","1,610,656",액션,12세관람가,일반영화
88,89,캡틴 마블,라이언 플렉,,2019-03-06,장편,미국,2100,51491272223,5801069,"15,433,909,683","1,650,932",액션,12세관람가,일반영화
90,91,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,,2018-06-06,장편,미국,1972,49770711037,5661128,"12,526,470,537","1,342,621",액션,12세관람가,일반영화
91,92,청년경찰,김주환,,2017-08-09,장편,한국,1102,44241099316,5636259,"9,885,607,016","1,207,318",액션,15세관람가,일반영화
93,94,숨바꼭질,허정,,2013-08-14,장편,한국,779,39593038500,5602543,"10,079,982,000","1,356,936",스릴러,15세관람가,일반영화
94,95,덕혜옹주,허진호,,2016-08-03,장편,한국,964,44344141109,5593551,"10,625,578,869","1,304,324",사극,12세관람가,일반영화
95,96,더 테러 라이브,김병우,,2013-07-31,장편,한국,743,39866712881,5583596,"11,349,884,881","1,525,130",범죄,15세관람가,일반영화
96,97,쥬라기 월드,콜린 트레보로우,,2015-06-11,장편,미국,1290,47800698826,5546792,"13,625,824,326","1,502,391",액션,12세관람가,일반영화
97,98,의형제,장훈,,2010-02-04,장편,한국,572,40800867602,5507106,"12,204,373,500","1,563,042",드라마,15세관람가,일반영화
98,99,감시자들,김병서,,2013-07-03,장편,한국,949,39298005179,5496547,"11,031,549,179","1,477,594",범죄,15세관람가,일반영화
99,100,2012,롤랜드 에머리히,,2009-11-12,장편,미국,789,39415166660,5462953,"11,671,854,500","1,528,658",SF,12세관람가,일반영화
100,101,앤트맨과 와스프,페이튼 리드,,2018-07-04,장편,미국,1775,47465443185,5447826,"13,821,594,585","1,503,229",액션,12세관람가,일반영화
101,102,닥터 스트레인지,스콧 데릭슨,,2016-10-26,장편,미국,1503,47482530396,5446379,"15,365,072,146","1,657,823",액션,12세관람가,일반영화
102,103,검은 사제들,장재현,,2015-11-05,장편,한국,1088,42395347092,5440945,"11,618,059,792","1,428,491",미스터리,15세관람가,일반영화
103,104,안시성,김광식,,2018-09-19,장편,한국,1540,46335334026,5440186,"10,028,662,426","1,146,191",사극,12세관람가,일반영화
104,105,블랙 팬서,라이언 쿠글러,,2018-02-14,장편,미국,1620,45883143457,5398994,"13,105,688,057","1,468,761",액션,12세관람가,일반영화
105,106,더 킹,한재림,,2017-01-18,장편,한국,1310,43486078535,5316325,"11,144,618,435","1,318,493",범죄,15세관람가,일반영화
106,107,완득이,이한,,2011-10-20,장편,한국,500,38530503500,5310510,"11,657,798,500","1,525,277",드라마,12세관람가,일반영화
107,108,트랜스포머: 사라진 시대,마이클 베이,,2014-06-25,장편,미국,1602,44012272845,5295801,"11,664,376,045","1,323,527",액션,12세관람가,일반영화
108,109,완벽한 타인,이재규,,2018-10-31,장편,한국,1313,44356752474,5294119,"11,870,044,374","1,373,292",드라마,15세관람가,일반영화
109,111,조커,토드 필립스,,2019-10-02,장편,미국,1418,45442252130,5255228,"14,704,552,340","1,638,904",액션,15세관람가,일반영화
110,112,월드 워 Z,마크 포스터,,2013-06-20,장편,미국,964,38555357000,5237525,"12,048,296,500","1,562,677",드라마,15세관람가,일반영화
112,114,타워,김지훈,,2012-12-25,장편,한국,617,37654858000,5181014,"9,052,298,500","1,186,378",드라마,12세관람가,일반영화
114,116,미녀와 야수,빌 콘돈,,2017-03-16,장편,미국,1627,42130589579,5137993,"13,177,630,229","1,531,839",멜로/로맨스,전체관람가,일반영화
115,117,추격자,나홍진,,2008-02-14,장편,한국,435,33943278500,5071619,"11,611,882,500","1,662,668",범죄,청소년관람불가,일반영화
116,118,독전,이해영,,2018-05-22,장편,한국,1357,43484892913,5063620,"10,658,158,413","1,201,461",범죄,15세관람가,일반영화
117,119,쿵푸팬더 2,여인영,,2011-05-26,장편,미국,948,44298724500,5062722,"14,917,759,000","1,575,363",애니메이션,전체관람가,일반영화
118,120,아쿠아맨,제임스 완,,2018-12-19,장편,미국,1285,44113456704,5038134,"11,897,439,184","1,294,275",액션,12세관람가,일반영화
119,121,공작,윤종빈,,2018-08-08,장편,한국,1317,42759410176,4971261,"10,296,507,676","1,158,151",드라마,12세관람가,일반영화
120,122,인사이드 아웃,피트 닥터,,2015-07-09,장편,미국,777,38015586936,4968687,"12,814,825,236","1,594,626",애니메이션,전체관람가,일반영화
122,124,킹스맨: 골든 서클,매튜 본,,2017-09-27,장편,미국,1687,40987484736,4945484,"12,306,638,886","1,419,759",액션,청소년관람불가,일반영화
124,127,바람과 함께 사라지다,김주호,,2012-08-08,장편,한국,694,34524377161,4897551,"8,302,901,161","1,122,802",코미디,12세관람가,일반영화
125,128,마션,리들리 스콧,,2015-10-08,장편,미국,1132,39612764295,4875494,"12,914,889,095","1,509,471",액션,12세관람가,일반영화
126,129,토르: 라그나로크,타이카 와이티티,,2017-10-25,장편,미국,1640,39248432595,4857152,"12,088,848,195","1,419,464",액션,12세관람가,일반영화
127,130,어메이징 스파이더맨,마크 웹,,2012-06-28,장편,미국,1118,41163951235,4853123,"13,100,185,524","1,446,116",액션,12세관람가,일반영화
128,131,"님아, 그 강을 건너지 마오",진모영,,2014-11-27,장편,한국,206,37354452679,4801355,"9,129,018,879","1,140,795",다큐멘터리,전체관람가,독립/예술영화
129,132,조선명탐정 : 각시투구꽃의 비밀,김석윤,,2011-01-27,장편,한국,611,35841769500,4786259,"10,712,744,000","1,363,857",코미디,12세관람가,일반영화
130,133,봉오동 전투,원신연,,2019-08-07,장편,한국,1476,40514276538,4779501,"7,782,799,628","891,383",사극,15세관람가,일반영화
131,134,군도: 민란의 시대,윤종빈,,2014-07-23,장편,한국,1394,36987755999,4774895,"9,976,707,399","1,239,945",사극,15세관람가,일반영화
132,135,남산의 부장들,우민호,,2020-01-22,장편,한국,1659,41223596650,4750104,"9,851,448,590","1,113,402",드라마,15세관람가,일반영화
133,136,라이온 킹,존 파브로,,2019-07-17,장편,미국,1936,41518977430,4743184,"11,620,751,790","1,218,042",어드벤처,전체관람가,일반영화
134,137,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,,2012-02-02,장편,한국,699,36479147500,4710454,"11,716,858,500","1,451,900",범죄,청소년관람불가,일반영화
135,138,주토피아,리치 무어,,2016-02-17,장편,미국,661,37077444042,4703245,"12,142,771,642","1,465,960",애니메이션,전체관람가,일반영화
136,139,엣지 오브 투모로우,더그 라이만,,2014-06-04,장편,미국,801,38703942201,4697142,"12,201,872,401","1,401,887",액션,12세관람가,일반영화
137,140,신세계,박훈정,,2013-02-21,장편,한국,671,34881330905,4682492,"11,114,978,905","1,435,648",범죄,청소년관람불가,일반영화
138,141,쿵푸 팬더,마크 오스본,,2008-06-05,장편,미국,351,30000965000,4673009,"10,590,329,000","1,556,669",애니메이션,전체관람가,일반영화
139,142,신비한 동물사전,데이빗 예이츠,,2016-11-16,장편,미국,1431,39337263058,4666993,"12,640,487,458","1,425,528",어드벤처,12세관람가,일반영화
140,143,도가니,황동혁,,2011-09-22,장편,한국,644,35566854800,4662822,"10,141,606,500","1,267,508",드라마,청소년관람불가,일반영화
143,146,내 아내의 모든 것,민규동,,2012-05-17,장편,한국,563,34222160500,4598583,"11,547,286,500","1,475,165",코미디,15세관람가,일반영화
144,147,나쁜 녀석들: 더 무비,손용호,,2019-09-11,장편,한국,1511,39560195124,4573902,"8,008,441,184","905,239",범죄,15세관람가,일반영화
145,148,판도라,박정우,,2016-12-07,장편,한국,1166,35965733064,4571142,"7,213,559,964","880,999",드라마,12세관람가,일반영화
146,149,터미네이터 : 미래전쟁의 시작,맥지,,2009-05-21,장편,미국,704,30146162133,4568891,"9,506,441,000","1,367,218",SF,15세관람가,일반영화
147,150,맘마미아!,필리다 로이드,,2008-09-03,장편,미국,457,29570784560,4554785,"11,275,657,333","1,646,593",멜로/로맨스,12세관람가,일반영화
148,151,연가시,박정우,,2012-07-05,장편,한국,759,32154766664,4513026,"7,819,583,000","1,040,068",공포(호러),15세관람가,일반영화
149,152,아이언맨 2,존 파브로,,2010-04-29,장편,미국,757,33161943100,4498335,"10,697,867,500","1,370,291",SF,12세관람가,일반영화
150,153,강철비,양우석,,2017-12-14,장편,한국,1426,35477912466,4451336,"8,694,723,516","1,060,541",액션,15세관람가,일반영화
151,154,해리포터와 죽음의 성물2,데이빗 예이츠,,2011-07-13,장편,미국,757,34507819000,4400298,"11,183,806,000","1,361,311",판타지,전체관람가,일반영화
152,155,다만 악에서 구하소서,홍원찬,,2020-08-05,장편,한국,1998,38554527990,4352669,"8,906,277,620","984,042",범죄,15세관람가,일반영화
153,156,헌트,이정재,,2022-08-10,장편,한국,1625,44573032153,4350029,"10,985,286,495","1,052,205",액션,15세관람가,일반영화
154,157,아이언맨,존 파브로,,2008-04-30,장편,미국,592,27802744668,4316003,"9,029,366,168","1,329,214",SF,12세관람가,일반영화
155,158,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,,2014-05-22,장편,미국,1056,34654558766,4313871,"11,315,080,666","1,345,720",액션,12세관람가,일반영화
156,159,강철중: 공공의 적 1-1,강우석,,2008-06-19,장편,한국,659,28465757767,4300670,"9,048,970,100","1,298,197",드라마,15세관람가,일반영화
157,160,아가씨,박찬욱,,2016-06-01,장편,한국,1171,35114332791,4277071,"10,881,501,871","1,283,972",스릴러,청소년관람불가,일반영화
159,162,어메이징 스파이더맨 2,마크 웹,,2014-04-23,장편,미국,1312,34869056800,4168350,"10,562,832,700","1,187,974",액션,12세관람가,일반영화
160,163,인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,,2008-05-22,장편,미국,660,26693951667,4136101,"8,495,873,167","1,245,028",액션,12세관람가,일반영화
161,164,용의자,원신연,,2013-12-24,장편,한국,807,30037161000,4131248,"7,563,772,000","997,760",액션,15세관람가,일반영화
162,165,건축학개론,이용주,,2012-03-22,장편,한국,593,30219800500,4110645,"11,003,948,000","1,431,173",멜로/로맨스,12세관람가,일반영화
164,167,미이라 3:황제의 무덤,롭 코헨,,2008-07-30,장편,미국,527,26222207084,4090795,"6,942,890,084","1,027,371",액션,12세관람가,일반영화
165,168,7급 공무원,신태라,,2009-04-22,장편,한국,475,26701311856,4088799,"8,090,460,000","1,173,540",코미디,12세관람가,일반영화
166,169,다크 나이트,크리스토퍼 놀란,,2008-08-06,장편,미국,462,27059471306,4087355,"10,406,924,000","1,487,898",범죄,15세관람가,일반영화
168,171,댄싱퀸,이석훈,,2012-01-18,장편,한국,534,30129259500,4057546,"8,223,006,000","1,055,086",코미디,12세관람가,일반영화
169,172,우리 생애 최고의 순간,임순례,,2008-01-10,장편,한국,418,26151780425,4044582,"8,551,706,425","1,264,173",드라마,전체관람가,일반영화
170,173,꾼,장창원,,2017-11-22,장편,한국,1314,31313568795,4018341,"7,524,464,445","931,901",범죄,15세관람가,일반영화
171,174,혹성탈출: 반격의 서막,맷 리브스,,2014-07-10,장편,미국,922,31509793095,4002134,"9,067,860,195","1,095,630",액션,12세관람가,일반영화
172,175,타짜-신의 손,강형철,,2014-09-03,장편,한국,890,32267244827,4001813,"8,495,857,527","1,016,403",드라마,청소년관람불가,일반영화
174,177,쿵푸팬더3,알레산드로 칼로니,,2016-01-28,장편,미국,1365,31340798156,3984812,"8,695,148,256","1,045,418",애니메이션,전체관람가,일반영화
175,178,캡틴 아메리카: 윈터 솔져,안소니 루소,,2014-03-26,장편,미국,1106,31710585385,3963220,"10,405,400,885","1,237,982",액션,15세관람가,일반영화
177,180,박수건달,조진규,,2013-01-09,장편,한국,599,28343986569,3893216,"6,808,915,069","894,127",코미디,15세관람가,일반영화
178,181,베놈,루벤 플레셔,,2018-10-03,장편,미국,1308,34100211207,3888096,"9,452,036,857","1,026,909",액션,15세관람가,일반영화
180,183,조선명탐정 : 사라진 놉의 딸,김석윤,,2015-02-11,장편,한국,811,30456879428,3872015,"6,908,501,928","845,522",사극,12세관람가,일반영화
182,185,역린,이재규,,2014-04-30,장편,한국,1054,29893297890,3849433,"8,426,821,290","1,044,988",사극,15세관람가,일반영화
183,186,매드 맥스: 분노의 도로,조지 밀러,,2015-05-14,장편,미국,799,32906364462,3842441,"11,443,176,062","1,271,954",액션,15세관람가,일반영화
184,187,남한산성,황동혁,,2017-10-03,장편,한국,1229,31067321992,3829891,"7,375,553,392","889,444",사극,15세관람가,일반영화
185,188,반도,연상호,,2020-07-15,장편,한국,2575,33071341280,3812080,"8,005,831,840","895,163",액션,15세관람가,일반영화
186,189,데드풀 2,데이빗 레이치,,2018-05-16,장편,미국,1576,34185664639,3784602,"10,757,126,939","1,145,250",액션,청소년관람불가,일반영화
187,190,쌍화점,유하,,2008-12-30,장편,한국,499,25616489949,3779553,"15,503,994,514","2,175,717",드라마,청소년관람불가,일반영화
188,191,암수살인,김태균,,2018-10-03,장편,한국,1177,32855895548,3772620,"7,777,232,448","862,386",범죄,15세관람가,일반영화
189,192,국가부도의 날,최국희,,2018-11-28,장편,한국,1180,30891765837,3754983,"7,993,870,137","937,443",드라마,12세관람가,일반영화
190,193,신기전,김유진,,2008-09-04,장편,한국,585,24314570667,3726134,"6,189,726,667","891,357",사극,15세관람가,일반영화
191,194,미이라,알렉스 커츠먼,,2017-06-06,장편,미국,1257,30504689978,3689325,"7,851,059,428","909,202",액션,15세관람가,일반영화
192,195,82년생 김지영,김도영,,2019-10-23,장편,한국,1486,30305744310,3679019,"8,397,712,370","994,852",드라마,12세관람가,일반영화
193,196,분노의 질주: 홉스&쇼,데이빗 레이치,,2019-08-14,장편,미국,1311,32241767793,3657536,"7,717,831,533","839,251",액션,12세관람가,일반영화
194,197,분노의 질주: 더 익스트림,F. 게리 그레이,,2017-04-12,장편,미국,1469,29981156348,3653238,"7,936,210,998","932,027",액션,15세관람가,일반영화
196,199,더 퍼스트 슬램덩크,이노우에 다케히코,,2023-01-04,장편,일본,1023,37393242931,3638498,"11,993,248,556","1,142,736",애니메이션,12세관람가,일반영화
197,200,너의 이름은.,신카이 마코토,,2017-01-04,장편,일본,947,29248867156,3637122,"9,352,306,256","1,124,392",애니메이션,12세관람가,일반영화
199,202,모가디슈,류승완,,2021-07-28,장편,한국,1688,34558297730,3613984,"8,498,347,010","887,264",액션,15세관람가,일반영화
200,203,인턴,낸시 마이어스,,2015-09-24,장편,미국,496,28518443148,3610642,"10,024,307,548","1,228,273",코미디,12세관람가,일반영화
201,204,라라랜드,데이미언 셔젤,,2016-12-07,장편,미국,727,30006844694,3597193,"13,131,083,194","1,536,629",드라마,12세관람가,일반영화
202,205,귀향,조정래,,2016-02-24,장편,한국,876,27245051990,3586523,"6,310,471,892","801,788",드라마,15세관람가,일반영화
203,206,리얼 스틸,숀 레비,,2011-10-12,장편,미국,603,26566677000,3579666,"8,578,776,500","1,090,591",액션,12세관람가,일반영화
204,207,신의 한 수,조범구,,2014-07-03,장편,한국,794,28777712256,3562123,"8,104,315,156","965,372",범죄,청소년관람불가,일반영화
206,210,코코,리 언크리치,,2018-01-11,장편,미국,1177,27685479440,3510017,"8,547,812,240","1,024,250",애니메이션,전체관람가,일반영화
210,214,부러진 화살,정지영,,2012-01-18,장편,한국,453,25878110500,3450941,"7,619,815,000","972,059",드라마,15세관람가,일반영화
211,215,끝까지 간다,김성훈,,2014-05-29,장편,한국,645,27006007900,3450143,"7,567,987,400","927,324",액션,15세관람가,일반영화
213,217,비긴 어게인,존 카니,,2014-08-13,장편,미국,213,27096673061,3427464,"10,856,208,161","1,324,469",멜로/로맨스,15세관람가,독립/예술영화
214,218,스파이,이승준,,2013-09-05,장편,한국,785,24436429305,3423920,"5,483,475,805","733,029",액션,15세관람가,일반영화
215,219,그것만이 내 세상,최성현,,2018-01-17,장편,한국,862,27441213382,3417629,"6,258,257,482","759,455",코미디,12세관람가,일반영화
216,220,이끼,강우석,,2010-07-14,장편,한국,736,25856306126,3408144,"8,251,736,000","1,044,532",드라마,청소년관람불가,일반영화
217,221,토이 스토리 4,조시 쿨리,,2019-06-20,장편,미국,1336,28757726040,3399913,"9,071,405,870","1,009,214",애니메이션,전체관람가,일반영화
218,222,돈,박누리,,2019-03-20,장편,한국,1431,28869614062,3389035,"7,287,586,982","833,513",범죄,15세관람가,일반영화
219,223,포화속으로,이재한,,2010-06-16,장편,한국,736,24217600897,3385706,"6,203,066,000","822,965",드라마,12세관람가,일반영화
221,225,맨 인 블랙 3,배리 소넨필드,,2012-05-24,장편,미국,770,27301520070,3379762,"9,258,393,070","1,068,672",액션,12세관람가,일반영화
222,226,어바웃 타임,리차드 커티스,,2013-12-05,장편,영국,568,24867023000,3375735,"10,488,833,000","1,368,822",멜로/로맨스,15세관람가,일반영화
223,227,악인전,이원태,,2019-05-15,장편,한국,1307,29128292150,3364079,"6,407,047,240","722,563",범죄,청소년관람불가,일반영화
225,229,올빼미,안태진,,2022-11-23,장편,한국,1541,32848464324,3327413,"8,942,063,323","885,001",스릴러,15세관람가,일반영화
226,230,슈퍼배드 3,카일 발다,,2017-07-26,장편,미국,1057,24216987019,3324861,"5,558,252,919","723,552",애니메이션,전체관람가,일반영화
227,231,데드풀,팀 밀러,,2016-02-17,장편,미국,1036,27595618651,3317196,"9,150,924,002","1,062,535",액션,청소년관람불가,일반영화
228,232,시동,최정열,,2019-12-18,장편,한국,1515,28098934360,3317038,"6,069,057,020","694,921",드라마,15세관람가,일반영화
230,234,아이 캔 스피크,김현석,,2017-09-21,장편,한국,1140,25532214986,3280243,"6,409,220,686","796,658",코미디,12세관람가,일반영화
231,235,스타워즈: 깨어난 포스,J.J. 에이브럼스,,2015-12-17,장편,미국,940,28353796331,3273879,"9,631,617,574","1,047,074",액션,12세관람가,일반영화
233,237,영웅,윤제균,,2022-12-21,장편,한국,1314,32092923912,3248975,"7,328,683,758","728,215",드라마,12세관람가,일반영화
234,238,분노의 질주: 더 세븐,제임스 완,,2015-04-01,장편,미국,983,26449334694,3247558,"7,328,474,894","864,171",액션,15세관람가,일반영화
235,239,터미네이터 제니시스,앨런 테일러,,2015-07-02,장편,미국,1113,26546725129,3239371,"7,364,611,329","852,065",액션,15세관람가,일반영화
236,240,그래비티,알폰소 쿠아론,,2013-10-17,장편,미국,636,31484135600,3227452,"14,128,973,600","1,311,034",SF,12세관람가,일반영화
238,242,마녀,박훈정,,2018-06-27,장편,한국,1117,27242029463,3189091,"6,459,959,863","732,154",미스터리,15세관람가,일반영화
242,246,탐정: 리턴즈,이언희,,2018-06-13,장편,한국,1041,26865721678,3148038,"5,989,673,378","680,077",코미디,15세관람가,일반영화
246,250,캐리비안의 해적: 낯선 조류,롭 마샬,,2011-05-19,장편,미국,960,27279967500,3130046,"8,991,119,500","977,452",액션,12세관람가,일반영화
247,251,퀵,조범구,,2011-07-20,장편,한국,512,22960890000,3125069,"5,353,417,500","692,405",코미디,15세관람가,일반영화
248,252,감기,김성수,,2013-08-14,장편,한국,806,21784202000,3119023,"4,692,878,000","638,882",드라마,15세관람가,일반영화
251,255,나우 유 씨 미 2,존 추,,2016-07-13,장편,미국,1200,25116690113,3100113,"7,162,588,413","850,601",범죄,12세관람가,일반영화
253,257,하모니,강대규,,2010-01-28,장편,한국,405,21992266198,3068544,"5,451,128,000","718,993",드라마,12세관람가,일반영화
254,258,거북이 달린다,이연우,,2009-06-11,장편,한국,379,20857347292,3059812,"6,785,771,000","942,277",드라마,15세관람가,일반영화
256,260,캐리비안의 해적: 죽은 자는 말이 없다,에스펜 샌버그,,2017-05-24,장편,미국,1357,24975495122,3049894,"7,206,844,722","839,897",액션,12세관람가,일반영화
